cours,hight,indice,low,open_,time,var
9.834 ,10.030 ,ATOS,9.348 ,9.504 ,2022-10-26 14:38:49.361863,+8.14%
12.690 ,13.040 ,OVHCLOUD,12.100 ,12.100 ,2022-10-26 14:38:49.377999,+5.84%
66.150 ,66.700 ,ERAMET,62.750 ,62.900 ,2022-10-26 14:38:49.380959,+4.92%
12.445 ,12.560 ,MCPHY ENERGY,11.915 ,12.150 ,2022-10-26 14:38:49.383950,+4.62%
116.200 ,116.900 ,GTT (GAZTRANSPORT ET TEC.),111.800 ,114.100 ,2022-10-26 14:38:49.386943,+4.22%
2.138 ,2.172 ,ELIOR GROUP,2.066 ,2.066 ,2022-10-26 14:38:49.394921,+4.09%
14.700 ,14.895 ,SCOR,14.070 ,14.100 ,2022-10-26 14:38:49.396917,+3.81%
0.878 ,0.886 ,CGG,0.835 ,0.837 ,2022-10-26 14:38:49.399909,+3.81%
19.935 ,20.030 ,ALSTOM,19.230 ,19.240 ,2022-10-26 14:38:49.403395,+3.56%
101.000 ,101.300 ,IPSEN,96.950 ,97.650 ,2022-10-26 14:38:49.409776,+3.11%
89.840 ,89.860 ,SODEXO,87.940 ,88.520 ,2022-10-26 14:38:49.413190,+3.10%
102.900 ,103.600 ,TRIGANO,99.350 ,100.200 ,2022-10-26 14:38:49.415187,+2.69%
124.850 ,125.450 ,THALES,122.150 ,122.250 ,2022-10-26 14:38:49.419208,+2.67%
40.480 ,40.640 ,IMERYS,39.840 ,40.060 ,2022-10-26 14:38:49.426154,+2.53%
78.180 ,78.300 ,LEGRAND,76.100 ,76.260 ,2022-10-26 14:38:49.430143,+2.28%
2.230 ,2.275 ,SOLUTIONS 30,2.164 ,2.173 ,2022-10-26 14:38:49.432138,+2.15%
17.050 ,17.295 ,REXEL,16.715 ,16.715 ,2022-10-26 14:38:49.435130,+2.13%
15.760 ,15.815 ,GETLINK (ex: EUROTUNNEL),15.320 ,15.400 ,2022-10-26 14:38:49.448098,+2.07%
91.740 ,92.270 ,VINCI,91.080 ,91.620 ,2022-10-26 14:38:49.450090,+1.72%
151.000 ,152.800 ,DASSAULT AVIATION,148.100 ,149.300 ,2022-10-26 14:38:49.452085,+1.55%
24.000 ,24.040 ,SPIE,23.640 ,23.640 ,2022-10-26 14:38:49.455077,+1.52%
14.090 ,14.245 ,FAURECIA,13.550 ,13.865 ,2022-10-26 14:38:49.457106,+1.51%
111.940 ,112.740 ,SAFRAN,110.100 ,110.200 ,2022-10-26 14:38:49.459066,+1.45%
13.820 ,13.950 ,PLASTIC OMNIUM,13.390 ,13.650 ,2022-10-26 14:38:49.462058,+1.32%
122.000 ,123.100 ,ALTEN,119.300 ,120.000 ,2022-10-26 14:38:49.465051,+1.24%
247.000 ,249.000 ,VIRBAC,246.000 ,246.000 ,2022-10-26 14:38:49.543694,+0.41%
22.700 ,23.080 ,ANTIN INFRA. PARTNERS,22.540 ,22.680 ,2022-10-26 14:38:49.548332,+0.35%
8.410 ,8.450 ,MERCIALYS,8.370 ,8.380 ,2022-10-26 14:38:49.552323,+0.30%
31.920 ,32.200 ,RENAULT,31.500 ,31.700 ,2022-10-26 14:38:49.555314,+0.25%
64.640 ,65.180 ,EURONEXT,64.180 ,64.620 ,2022-10-26 14:38:49.558336,+0.22%
17.040 ,17.155 ,VALEO,16.570 ,16.940 ,2022-10-26 14:38:49.562294,+0.18%
9.419 ,9.514 ,ORANGE,9.378 ,9.420 ,2022-10-26 14:38:49.565287,+0.15%
79.320 ,80.620 ,ARKEMA,79.120 ,79.680 ,2022-10-26 14:38:49.568323,+0.13%
23.290 ,23.470 ,SOCIETE GENERALE,23.220 ,23.375 ,2022-10-26 14:38:49.570273,+0.09%
319.500 ,324.200 ,SARTORIUS STEDIM BIOTECH,316.300 ,318.100 ,2022-10-26 14:38:49.572267,+0.06%
9.040 ,9.195 ,EUTELSAT COMMUNIC.,8.940 ,8.945 ,2022-10-26 14:38:49.591248,+1.23%
13.536 ,13.608 ,STELLANTIS,13.400 ,13.496 ,2022-10-26 14:38:49.604180,+0.03%
13.044 ,13.130 ,ENGIE,12.974 ,13.030 ,2022-10-26 14:38:49.606181,+0.02%
88.860 ,88.940 ,EIFFAGE,87.280 ,87.700 ,2022-10-26 14:38:49.610167,+1.14%
10.745 ,10.820 ,VALLOUREC,10.620 ,10.665 ,2022-10-26 14:38:49.614205,+1.13%
105.200 ,105.880 ,AIRBUS,104.300 ,104.360 ,2022-10-26 14:38:49.617147,+1.10%
121.700 ,123.100 ,ALTEN,119.300 ,120.000 ,2022-10-26 14:38:49.620138,+1.00%
130.900 ,132.000 ,ADP,128.050 ,129.300 ,2022-10-26 14:38:49.622134,+0.93%
23.160 ,23.420 ,ACCOR,22.750 ,22.750 ,2022-10-26 14:38:49.625125,+0.87%
28.360 ,28.390 ,BOUYGUES,28.020 ,28.190 ,2022-10-26 14:38:49.627121,+0.82%
132.320 ,133.660 ,SCHNEIDER ELECTRIC,131.300 ,131.380 ,2022-10-26 14:38:49.631118,+0.78%
10.840 ,10.920 ,ALD,10.640 ,10.720 ,2022-10-26 14:38:49.633104,+0.74%
18.660 ,18.780 ,EUROAPI,18.540 ,18.540 ,2022-10-26 14:38:49.635098,+0.73%
44.080 ,44.740 ,WORLDLINE,43.300 ,43.670 ,2022-10-26 14:38:49.638090,+0.71%
41.780 ,42.105 ,SAINT-GOBAIN,41.405 ,41.425 ,2022-10-26 14:38:49.640085,+0.70%
20.020 ,20.120 ,NEXITY,19.570 ,19.880 ,2022-10-26 14:38:49.643078,+0.65%
57.350 ,57.650 ,EURAZEO,56.600 ,57.000 ,2022-10-26 14:38:49.646070,+0.61%
174.050 ,175.400 ,CAPGEMINI,171.850 ,171.900 ,2022-10-26 14:38:49.650093,+0.61%
11.630 ,11.680 ,ELIS,11.470 ,11.540 ,2022-10-26 14:38:49.652053,+0.61%
66.550 ,66.550 ,BIC,66.050 ,66.050 ,2022-10-26 14:38:49.654048,+0.60%
11.160 ,11.190 ,COFACE,11.040 ,11.080 ,2022-10-26 14:38:49.657039,+0.54%
8.430 ,8.530 ,CASINO GUICHARD PERRACHON,8.305 ,8.305 ,2022-10-26 14:38:49.660032,+0.54%
49.250 ,50.400 ,INTERPARFUMS,48.350 ,49.350 ,2022-10-26 14:38:49.663607,+0.51%
50.140 ,50.720 ,EDENRED,49.760 ,49.800 ,2022-10-26 14:38:49.666017,+0.48%
12.580 ,12.650 ,JCDECAUX,12.450 ,12.490 ,2022-10-26 14:38:49.668011,+0.48%
66.400 ,67.900 ,SEB,63.100 ,64.250 ,2022-10-26 14:38:49.671003,+0.45%
82.660 ,83.260 ,SANOFI,82.330 ,82.700 ,2022-10-26 14:38:49.677993,+0.45%
9.850 ,10.030 ,ATOS,9.348 ,9.504 ,2022-10-26 14:38:49.735861,+8.31%
12.690 ,13.040 ,OVHCLOUD,12.100 ,12.100 ,2022-10-26 14:38:49.738711,+5.84%
12.500 ,12.560 ,MCPHY ENERGY,11.915 ,12.150 ,2022-10-26 14:38:49.740686,+5.09%
66.150 ,66.700 ,ERAMET,62.750 ,62.900 ,2022-10-26 14:38:49.743666,+4.92%
116.200 ,116.900 ,GTT (GAZTRANSPORT ET TEC.),111.800 ,114.100 ,2022-10-26 14:38:49.747655,+4.22%
2.138 ,2.172 ,ELIOR GROUP,2.066 ,2.066 ,2022-10-26 14:38:49.750678,+4.09%
14.700 ,14.895 ,SCOR,14.070 ,14.100 ,2022-10-26 14:38:49.752640,+3.81%
0.878 ,0.886 ,CGG,0.835 ,0.837 ,2022-10-26 14:38:49.754634,+3.81%
19.940 ,20.030 ,ALSTOM,19.230 ,19.240 ,2022-10-26 14:38:49.755631,+3.58%
89.880 ,89.880 ,SODEXO,87.940 ,88.520 ,2022-10-26 14:38:49.757627,+3.14%
101.000 ,101.300 ,IPSEN,96.950 ,97.650 ,2022-10-26 14:38:49.760621,+3.11%
124.950 ,125.450 ,THALES,122.150 ,122.250 ,2022-10-26 14:38:49.764608,+2.75%
102.900 ,103.600 ,TRIGANO,99.350 ,100.200 ,2022-10-26 14:38:49.766636,+2.69%
40.480 ,40.640 ,IMERYS,39.840 ,40.060 ,2022-10-26 14:38:49.768598,+2.53%
78.160 ,78.300 ,LEGRAND,76.100 ,76.260 ,2022-10-26 14:38:49.770624,+2.25%
17.050 ,17.295 ,REXEL,16.715 ,16.715 ,2022-10-26 14:38:49.771589,+2.13%
15.755 ,15.815 ,GETLINK (ex: EUROTUNNEL),15.320 ,15.400 ,2022-10-26 14:38:49.773584,+2.04%
2.227 ,2.275 ,SOLUTIONS 30,2.164 ,2.173 ,2022-10-26 14:38:49.776577,+2.02%
91.750 ,92.270 ,VINCI,91.080 ,91.620 ,2022-10-26 14:38:49.781563,+1.73%
14.100 ,14.245 ,FAURECIA,13.550 ,13.865 ,2022-10-26 14:38:49.783593,+1.59%
151.000 ,152.800 ,DASSAULT AVIATION,148.100 ,149.300 ,2022-10-26 14:38:49.785553,+1.55%
24.000 ,24.040 ,SPIE,23.640 ,23.640 ,2022-10-26 14:38:49.787580,+1.52%
111.960 ,112.740 ,SAFRAN,110.100 ,110.200 ,2022-10-26 14:38:49.788543,+1.47%
13.820 ,13.950 ,PLASTIC OMNIUM,13.390 ,13.650 ,2022-10-26 14:38:49.790538,+1.32%
6.482 ,6.520 ,SES,6.348 ,6.368 ,2022-10-26 14:38:49.793533,+1.25%
